gas_day,meter_id,scheduled_dth,actual_dth,pressure_psig,temperature_f,variance_pct
2026-07-02,OKT-DN1-01,87268,91597,885.0,81.6,4.96
2026-07-02,OKT-DN1-02,8917,8603,765.6,85.5,-3.52
2026-07-02,OKT-DN4-01,10382,10088,696.4,87.8,-2.84
2026-07-02,OKT-DN4-02,11731,11323,775.9,85.6,-3.47
2026-07-02,OKT-DN4-03,21314,21869,839.8,80.7,2.6
2026-07-02,OKT-DN4-04,15669,15429,843.2,86.8,-1.53
2026-07-02,OKT-DN4-05,14459,14800,713.7,76.8,2.36
2026-07-02,OKT-DN4-06,8972,9380,871.5,86.5,4.55
2026-07-02,OKT-DN4-07,12282,11892,832.8,82.0,-3.17
2026-07-02,OKT-DN4-08,19369,20262,888.5,87.8,4.61
2026-07-02,OKT-DN4-09,9190,8995,841.0,76.0,-2.12
2026-07-02,OKT-DN5-01,56188,56401,776.0,86.8,0.38
2026-07-02,OKT-DN5-02,12093,11813,734.7,85.6,-2.31
2026-07-02,OKT-DN5-03,17187,16739,860.0,76.4,-2.61
2026-07-02,OKT-DN5-04,33544,32453,912.3,82.6,-3.25
2026-07-02,OKT-DN5-05,14405,13621,743.0,77.4,-5.45
2026-07-02,OKT-DN5-06,28611,30251,850.3,87.0,5.73
2026-07-02,OKT-OK1-01,68387,71750,760.8,87.4,4.92
2026-07-02,OKT-OK1-02,14412,13639,940.1,84.2,-5.36
2026-07-02,OKT-OK1-03,7425,7755,717.9,83.3,4.44
2026-07-02,OKT-OK1-04,11907,11661,936.8,86.8,-2.07
2026-07-02,OKT-OK2-01,52497,51482,898.4,83.7,-1.93
2026-07-02,OKT-OK2-02,15313,15606,941.6,83.6,1.91
2026-07-02,OKT-OK3-01,56667,55689,672.6,79.1,-1.72
2026-07-02,OKT-OK3-02,16037,16424,723.1,84.2,2.41
2026-07-02,OKT-OK3-03,13078,13067,711.4,79.6,-0.09
2026-07-02,OKT-OK4-01,28819,28176,816.0,84.6,-2.23
2026-07-02,OKT-OK4-02,72853,75629,703.2,84.8,3.81
2026-07-02,OKT-OK9-01,18003,18790,878.7,79.6,4.37
2026-07-02,OKT-OK9-02,12310,11962,872.2,86.8,-2.83
2026-07-02,OKT-OK9-03,11749,12105,725.4,83.6,3.03
2026-07-02,OKT-OK9-04,9325,8889,899.3,86.1,-4.68
2026-07-02,OKT-OK9-05,13537,14032,784.5,81.9,3.66
2026-07-02,OKT-OK9-06,60716,62478,828.2,86.1,2.9
2026-07-02,OKT-OK9-07,17259,16748,855.2,76.3,-2.96
2026-07-02,OKT-OK9-08,8954,9087,948.1,80.9,1.49
2026-07-02,OKT-OK9-09,4825,5070,858.1,87.3,5.08
2026-07-02,OKT-O12-01,5138,5222,763.1,77.3,1.63
2026-07-02,OKT-O12-02,16132,15482,801.6,83.5,-4.03
2026-07-02,OKT-O12-03,68864,66403,857.0,79.5,-3.57
2026-07-02,OKT-O12-04,15443,15966,782.7,83.2,3.38
2026-07-02,OKT-O11-01,19217,18589,718.1,81.4,-3.27
2026-07-02,OKT-O11-02,26361,26603,910.4,79.1,0.92
2026-07-03,OKT-DN1-01,89810,93157,687.0,76.0,3.73
2026-07-03,OKT-DN1-02,9072,9314,862.7,75.9,2.67
2026-07-03,OKT-DN4-01,10563,10898,772.5,77.6,3.17
2026-07-03,OKT-DN4-02,11935,12236,868.0,82.4,2.53
2026-07-03,OKT-DN4-03,21686,21530,788.0,77.6,-0.72
2026-07-03,OKT-DN4-04,15942,15345,914.1,76.3,-3.74
2026-07-03,OKT-DN4-05,14710,15546,736.0,85.8,5.68
2026-07-03,OKT-DN4-06,9128,8620,741.6,81.8,-5.57
2026-07-03,OKT-DN4-07,12496,12757,733.3,76.7,2.09
2026-07-03,OKT-DN4-08,19707,19842,792.8,77.6,0.69
2026-07-03,OKT-DN4-09,9350,9679,678.1,76.6,3.52
2026-07-03,OKT-DN5-01,57825,54840,765.2,78.4,-5.16
2026-07-03,OKT-DN5-02,12304,12755,807.8,82.9,3.67
2026-07-03,OKT-DN5-03,17486,16869,758.7,77.5,-3.53
2026-07-03,OKT-DN5-04,34128,34602,693.1,83.4,1.39
2026-07-03,OKT-DN5-05,14656,15109,913.2,83.1,3.09
2026-07-03,OKT-DN5-06,29109,27609,747.8,84.9,-5.15
2026-07-03,OKT-OK1-01,70379,71157,921.4,86.4,1.11
2026-07-03,OKT-OK1-02,14663,15180,781.4,81.3,3.53
2026-07-03,OKT-OK1-03,7554,7547,756.5,78.0,-0.1
2026-07-03,OKT-OK1-04,12115,12098,860.6,87.0,-0.14
2026-07-03,OKT-OK2-01,54026,54191,726.1,79.7,0.3
2026-07-03,OKT-OK2-02,15580,15653,875.5,83.3,0.47
2026-07-03,OKT-OK3-01,58317,58579,783.8,84.9,0.45
2026-07-03,OKT-OK3-02,16317,16469,892.6,87.1,0.93
2026-07-03,OKT-OK3-03,13306,12888,710.4,84.1,-3.14
2026-07-03,OKT-OK4-01,29321,29415,894.9,77.5,0.32
2026-07-03,OKT-OK4-02,74975,71425,842.7,87.1,-4.74
2026-07-03,OKT-OK9-01,18316,18002,910.5,83.2,-1.72
2026-07-03,OKT-OK9-02,12525,12194,766.9,82.8,-2.64
2026-07-03,OKT-OK9-03,11954,11496,893.1,84.4,-3.83
2026-07-03,OKT-OK9-04,9488,9260,893.5,82.7,-2.4
2026-07-03,OKT-OK9-05,13773,13136,852.1,76.8,-4.62
2026-07-03,OKT-OK9-06,62484,59782,926.0,83.3,-4.33
2026-07-03,OKT-OK9-07,17560,16766,912.5,83.5,-4.52
2026-07-03,OKT-OK9-08,9110,9295,741.5,85.0,2.04
2026-07-03,OKT-OK9-09,4909,4643,736.2,87.2,-5.41
2026-07-03,OKT-O12-01,5228,4981,664.4,79.0,-4.71
2026-07-03,OKT-O12-02,16413,16723,798.4,87.6,1.89
2026-07-03,OKT-O12-03,70870,68339,667.7,77.8,-3.57
2026-07-03,OKT-O12-04,15712,16163,818.2,76.1,2.87
2026-07-03,OKT-O11-01,19552,19691,816.7,84.6,0.71
2026-07-03,OKT-O11-02,26820,26596,897.2,86.6,-0.84
2026-07-04,OKT-DN1-01,80377,77355,806.3,74.0,-3.76
2026-07-04,OKT-DN1-02,8275,8025,784.0,77.3,-3.02
2026-07-04,OKT-DN4-01,9635,9713,823.5,77.6,0.81
2026-07-04,OKT-DN4-02,10886,11457,715.4,84.9,5.25
2026-07-04,OKT-DN4-03,19779,19892,902.3,83.6,0.57
2026-07-04,OKT-DN4-04,14540,14375,938.8,75.4,-1.14
2026-07-04,OKT-DN4-05,13417,13334,699.8,78.2,-0.62
2026-07-04,OKT-DN4-06,8326,8333,834.6,79.6,0.09
2026-07-04,OKT-DN4-07,11398,10774,856.4,76.1,-5.47
2026-07-04,OKT-DN4-08,17974,17268,905.5,82.5,-3.93
2026-07-04,OKT-DN4-09,8528,8738,714.2,81.9,2.46
2026-07-04,OKT-DN5-01,51751,49883,746.9,84.1,-3.61
2026-07-04,OKT-DN5-02,11222,10690,922.8,76.3,-4.74
2026-07-04,OKT-DN5-03,15949,15842,754.5,79.5,-0.67
2026-07-04,OKT-DN5-04,31128,32570,943.5,76.8,4.63
2026-07-04,OKT-DN5-05,13368,13734,692.8,75.5,2.74
2026-07-04,OKT-DN5-06,26550,25520,893.2,79.4,-3.88
2026-07-04,OKT-OK1-01,62987,60335,721.7,84.3,-4.21
2026-07-04,OKT-OK1-02,13374,13933,787.5,85.1,4.18
2026-07-04,OKT-OK1-03,6890,7297,918.2,82.9,5.9
2026-07-04,OKT-OK1-04,11050,10938,801.4,79.8,-1.01
2026-07-04,OKT-OK2-01,48352,49624,890.4,75.9,2.63
2026-07-04,OKT-OK2-02,14210,14852,742.2,82.4,4.51
2026-07-04,OKT-OK3-01,52192,49270,912.6,82.4,-5.6
2026-07-04,OKT-OK3-02,14882,15596,880.0,78.6,4.8
2026-07-04,OKT-OK3-03,12137,12216,865.9,82.5,0.66
2026-07-04,OKT-OK4-01,26744,25482,797.7,77.6,-4.72
2026-07-04,OKT-OK4-02,67101,64967,789.7,79.5,-3.18
2026-07-04,OKT-OK9-01,16706,17481,840.4,83.9,4.64
2026-07-04,OKT-OK9-02,11424,11597,826.6,80.6,1.52
2026-07-04,OKT-OK9-03,10903,10923,835.5,77.9,0.18
2026-07-04,OKT-OK9-04,8654,8369,835.9,81.7,-3.3
2026-07-04,OKT-OK9-05,12562,12576,898.6,74.4,0.11
2026-07-04,OKT-OK9-06,55921,57036,924.0,76.9,1.99
2026-07-04,OKT-OK9-07,16016,15797,907.4,78.7,-1.37
2026-07-04,OKT-OK9-08,8309,8169,714.3,83.8,-1.68
2026-07-04,OKT-OK9-09,4477,4552,702.4,84.9,1.67
2026-07-04,OKT-O12-01,4768,4863,671.0,76.0,1.99
2026-07-04,OKT-O12-02,14970,15312,799.0,83.0,2.29
2026-07-04,OKT-O12-03,63426,60330,806.8,82.6,-4.88
2026-07-04,OKT-O12-04,14331,13600,753.5,73.8,-5.1
2026-07-04,OKT-O11-01,17833,16992,789.3,76.4,-4.72
2026-07-04,OKT-O11-02,24463,24357,725.4,84.4,-0.43
2026-07-05,OKT-DN1-01,82400,81512,709.8,77.6,-1.08
2026-07-05,OKT-DN1-02,8546,8107,699.0,79.7,-5.13
2026-07-05,OKT-DN4-01,9950,10130,785.8,74.5,1.81
2026-07-05,OKT-DN4-02,11242,11645,683.7,76.3,3.58
2026-07-05,OKT-DN4-03,20427,19476,709.0,83.0,-4.65
2026-07-05,OKT-DN4-04,15016,15351,728.4,83.7,2.23
2026-07-05,OKT-DN4-05,13856,14048,846.1,80.8,1.38
2026-07-05,OKT-DN4-06,8598,8246,863.8,82.2,-4.1
2026-07-05,OKT-DN4-07,11771,11992,835.4,75.1,1.88
2026-07-05,OKT-DN4-08,18563,19144,779.2,84.5,3.13
2026-07-05,OKT-DN4-09,8807,8336,850.5,82.0,-5.34
2026-07-05,OKT-DN5-01,53053,51825,722.0,84.6,-2.32
2026-07-05,OKT-DN5-02,11590,11046,781.9,81.8,-4.69
2026-07-05,OKT-DN5-03,16471,16036,878.8,74.5,-2.64
2026-07-05,OKT-DN5-04,32147,32089,740.7,78.3,-0.18
2026-07-05,OKT-DN5-05,13805,14548,777.9,74.2,5.38
2026-07-05,OKT-DN5-06,27419,26308,798.4,78.9,-4.05
2026-07-05,OKT-OK1-01,64572,64518,763.8,75.2,-0.08
2026-07-05,OKT-OK1-02,13812,13331,755.4,73.6,-3.48
2026-07-05,OKT-OK1-03,7116,6872,752.8,77.3,-3.42
2026-07-05,OKT-OK1-04,11411,11574,873.0,82.2,1.42
2026-07-05,OKT-OK2-01,49568,49191,856.6,82.5,-0.76
2026-07-05,OKT-OK2-02,14675,14487,832.3,78.0,-1.28
2026-07-05,OKT-OK3-01,53505,50644,808.7,78.3,-5.35
2026-07-05,OKT-OK3-02,15370,16079,817.2,82.9,4.62
2026-07-05,OKT-OK3-03,12534,12512,729.2,74.8,-0.17
2026-07-05,OKT-OK4-01,27619,28634,931.6,81.4,3.68
2026-07-05,OKT-OK4-02,68789,69525,840.1,76.9,1.07
2026-07-05,OKT-OK9-01,17253,17775,693.9,75.7,3.02
2026-07-05,OKT-OK9-02,11798,12089,876.3,79.3,2.47
2026-07-05,OKT-OK9-03,11260,10854,809.8,76.8,-3.61
2026-07-05,OKT-OK9-04,8937,8865,711.6,75.0,-0.8
2026-07-05,OKT-OK9-05,12973,13727,885.1,79.3,5.81
2026-07-05,OKT-OK9-06,57328,56687,772.0,78.1,-1.12
2026-07-05,OKT-OK9-07,16541,16091,849.7,78.0,-2.72
2026-07-05,OKT-OK9-08,8581,8858,926.3,75.4,3.24
2026-07-05,OKT-OK9-09,4624,4772,770.8,84.1,3.2
2026-07-05,OKT-O12-01,4924,4815,696.7,77.1,-2.23
2026-07-05,OKT-O12-02,15460,15729,951.3,81.1,1.74
2026-07-05,OKT-O12-03,65022,63877,773.2,85.2,-1.76
2026-07-05,OKT-O12-04,14800,14104,876.1,78.2,-4.7
2026-07-05,OKT-O11-01,18417,18626,714.1,82.1,1.13
2026-07-05,OKT-O11-02,25264,25602,834.2,77.9,1.34
2026-07-06,OKT-DN1-01,88168,87457,742.4,76.1,-0.81
2026-07-06,OKT-DN1-02,8991,9309,866.1,83.5,3.53
2026-07-06,OKT-DN4-01,10469,10300,915.8,84.8,-1.61
2026-07-06,OKT-DN4-02,11828,11702,795.9,81.4,-1.07
2026-07-06,OKT-DN4-03,21492,21717,677.3,77.1,1.05
2026-07-06,OKT-DN4-04,15799,15238,887.2,84.9,-3.55
2026-07-06,OKT-DN4-05,14579,14309,707.3,83.3,-1.85
2026-07-06,OKT-DN4-06,9047,9021,805.6,81.7,-0.28
2026-07-06,OKT-DN4-07,12384,12394,754.6,82.0,0.08
2026-07-06,OKT-DN4-08,19531,19515,799.1,77.9,-0.08
2026-07-06,OKT-DN4-09,9266,8913,833.8,78.9,-3.81
2026-07-06,OKT-DN5-01,56767,57728,914.4,81.8,1.69
2026-07-06,OKT-DN5-02,12194,12877,783.0,86.9,5.6
2026-07-06,OKT-DN5-03,17330,18225,787.0,82.4,5.16
2026-07-06,OKT-DN5-04,33823,34653,827.0,81.3,2.45
2026-07-06,OKT-DN5-05,14525,15347,770.1,78.9,5.66
2026-07-06,OKT-DN5-06,28849,27978,774.0,78.0,-3.02
2026-07-06,OKT-OK1-01,69092,72522,932.8,86.4,4.96
2026-07-06,OKT-OK1-02,14532,15043,694.7,87.3,3.51
2026-07-06,OKT-OK1-03,7487,7371,738.4,83.7,-1.55
2026-07-06,OKT-OK1-04,12006,12418,923.9,77.8,3.42
2026-07-06,OKT-OK2-01,53038,56211,891.7,84.0,5.98
2026-07-06,OKT-OK2-02,15441,15803,823.3,76.8,2.35
2026-07-06,OKT-OK3-01,57251,56932,800.7,79.6,-0.56
2026-07-06,OKT-OK3-02,16171,15245,800.3,79.9,-5.73
2026-07-06,OKT-OK3-03,13187,13636,837.1,83.5,3.4
2026-07-06,OKT-OK4-01,29059,30182,928.4,81.4,3.86
2026-07-06,OKT-OK4-02,73604,73467,798.9,83.2,-0.19
2026-07-06,OKT-OK9-01,18153,18231,932.1,75.8,0.43
2026-07-06,OKT-OK9-02,12413,12114,854.8,76.4,-2.41
2026-07-06,OKT-OK9-03,11847,11334,692.3,77.6,-4.33
2026-07-06,OKT-OK9-04,9403,9766,911.9,86.5,3.86
2026-07-06,OKT-OK9-05,13650,13847,777.5,80.8,1.44
2026-07-06,OKT-OK9-06,61342,64730,852.5,87.0,5.52
2026-07-06,OKT-OK9-07,17403,17448,875.5,77.9,0.26
2026-07-06,OKT-OK9-08,9028,9200,708.8,85.3,1.91
2026-07-06,OKT-OK9-09,4865,4834,752.7,82.1,-0.63
2026-07-06,OKT-O12-01,5181,4948,888.2,85.2,-4.5
2026-07-06,OKT-O12-02,16266,16346,717.0,87.4,0.49
2026-07-06,OKT-O12-03,69574,66178,675.0,80.1,-4.88
2026-07-06,OKT-O12-04,15572,14942,853.3,79.2,-4.05
2026-07-06,OKT-O11-01,19377,18375,866.7,82.1,-5.17
2026-07-06,OKT-O11-02,26581,25098,793.5,85.3,-5.58
2026-07-07,OKT-DN1-01,86889,86441,782.0,81.8,-0.52
2026-07-07,OKT-DN1-02,8748,8802,788.1,78.3,0.62
2026-07-07,OKT-DN4-01,10186,10708,891.6,86.2,5.13
2026-07-07,OKT-DN4-02,11508,11309,745.3,75.9,-1.73
2026-07-07,OKT-DN4-03,20911,21066,904.2,83.4,0.74
2026-07-07,OKT-DN4-04,15372,15043,744.5,77.5,-2.14
2026-07-07,OKT-DN4-05,14185,14528,830.5,77.5,2.42
2026-07-07,OKT-DN4-06,8802,8401,820.6,82.6,-4.56
2026-07-07,OKT-DN4-07,12049,12700,847.0,78.9,5.4
2026-07-07,OKT-DN4-08,19002,20024,845.4,80.3,5.38
2026-07-07,OKT-DN4-09,9015,9408,680.5,77.8,4.35
2026-07-07,OKT-DN5-01,55944,52684,859.0,77.6,-5.83
2026-07-07,OKT-DN5-02,11864,12386,770.7,80.7,4.4
2026-07-07,OKT-DN5-03,16861,17583,785.7,80.4,4.28
2026-07-07,OKT-DN5-04,32909,33695,827.9,77.7,2.39
2026-07-07,OKT-DN5-05,14132,13285,728.8,87.2,-6.0
2026-07-07,OKT-DN5-06,28069,28190,680.9,81.5,0.43
2026-07-07,OKT-OK1-01,68090,67369,801.1,81.4,-1.06
2026-07-07,OKT-OK1-02,14139,13910,948.6,81.9,-1.62
2026-07-07,OKT-OK1-03,7284,7080,935.4,77.2,-2.8
2026-07-07,OKT-OK1-04,11682,12284,886.9,78.9,5.15
2026-07-07,OKT-OK2-01,52269,52747,670.2,79.8,0.92
2026-07-07,OKT-OK2-02,15023,14715,890.1,86.9,-2.05
2026-07-07,OKT-OK3-01,56420,54574,772.9,83.1,-3.27
2026-07-07,OKT-OK3-02,15734,15070,672.7,83.4,-4.22
2026-07-07,OKT-OK3-03,12831,13411,753.2,87.6,4.52
2026-07-07,OKT-OK4-01,28273,26588,918.3,77.8,-5.96
2026-07-07,OKT-OK4-02,72537,72538,765.8,87.3,0.0
2026-07-07,OKT-OK9-01,17662,18644,815.5,77.0,5.56
2026-07-07,OKT-OK9-02,12077,12562,736.9,80.4,4.01
2026-07-07,OKT-OK9-03,11527,11489,921.1,75.9,-0.33
2026-07-07,OKT-OK9-04,9149,8670,746.4,86.7,-5.23
2026-07-07,OKT-OK9-05,13281,12617,697.9,76.5,-4.99
2026-07-07,OKT-OK9-06,60452,62075,797.9,79.7,2.68
2026-07-07,OKT-OK9-07,16932,17799,857.7,82.7,5.12
2026-07-07,OKT-OK9-08,8784,9269,857.8,77.2,5.52
2026-07-07,OKT-OK9-09,4733,4749,815.6,80.8,0.34
2026-07-07,OKT-O12-01,5041,5080,746.5,85.7,0.76
2026-07-07,OKT-O12-02,15826,14956,925.6,87.6,-5.5
2026-07-07,OKT-O12-03,68565,64575,669.4,85.0,-5.82
2026-07-07,OKT-O12-04,15151,14514,675.5,79.5,-4.2
2026-07-07,OKT-O11-01,18853,18107,882.7,83.4,-3.96
2026-07-07,OKT-O11-02,25862,25627,693.5,79.4,-0.91
2026-07-08,OKT-DN1-01,87861,90027,921.2,85.9,2.47
2026-07-08,OKT-DN1-02,8969,8732,868.8,77.9,-2.64
2026-07-08,OKT-DN4-01,10443,10733,727.0,84.6,2.78
2026-07-08,OKT-DN4-02,11799,11779,711.4,80.1,-0.17
2026-07-08,OKT-DN4-03,21438,20290,817.2,87.6,-5.35
2026-07-08,OKT-DN4-04,15760,16608,855.7,77.8,5.38
2026-07-08,OKT-DN4-05,14542,14285,899.5,79.7,-1.77
2026-07-08,OKT-DN4-06,9024,8771,728.7,81.5,-2.8
2026-07-08,OKT-DN4-07,12353,11692,803.4,76.7,-5.36
2026-07-08,OKT-DN4-08,19482,18608,897.1,80.4,-4.49
2026-07-08,OKT-DN4-09,9243,9557,927.9,77.5,3.4
2026-07-08,OKT-DN5-01,56570,59205,859.2,84.1,4.66
2026-07-08,OKT-DN5-02,12163,11567,907.1,84.7,-4.9
2026-07-08,OKT-DN5-03,17287,18019,723.3,87.0,4.23
2026-07-08,OKT-DN5-04,33739,33528,777.3,79.8,-0.62
2026-07-08,OKT-DN5-05,14489,15289,766.9,83.1,5.53
2026-07-08,OKT-DN5-06,28777,29832,863.1,81.8,3.67
2026-07-08,OKT-OK1-01,68852,67333,932.5,86.7,-2.21
2026-07-08,OKT-OK1-02,14496,14655,932.4,80.2,1.1
2026-07-08,OKT-OK1-03,7468,7697,880.8,83.5,3.06
2026-07-08,OKT-OK1-04,11976,11902,931.4,76.6,-0.62
2026-07-08,OKT-OK2-01,52854,53021,697.8,85.9,0.32
2026-07-08,OKT-OK2-02,15402,14508,696.6,76.9,-5.81
2026-07-08,OKT-OK3-01,57052,56140,805.7,76.4,-1.6
2026-07-08,OKT-OK3-02,16130,16899,719.0,75.9,4.77
2026-07-08,OKT-OK3-03,13154,13110,845.9,80.4,-0.34
2026-07-08,OKT-OK4-01,28986,28276,894.2,77.5,-2.45
2026-07-08,OKT-OK4-02,73348,72630,829.6,86.8,-0.98
2026-07-08,OKT-OK9-01,18107,17156,945.7,83.3,-5.25
2026-07-08,OKT-OK9-02,12382,12064,704.5,80.7,-2.57
2026-07-08,OKT-OK9-03,11818,11572,776.2,85.4,-2.08
2026-07-08,OKT-OK9-04,9380,9091,843.4,85.6,-3.07
2026-07-08,OKT-OK9-05,13616,14301,830.6,79.3,5.03
2026-07-08,OKT-OK9-06,61128,59533,689.6,82.5,-2.61
2026-07-08,OKT-OK9-07,17359,16945,748.7,86.7,-2.39
2026-07-08,OKT-OK9-08,9006,9129,733.5,87.3,1.37
2026-07-08,OKT-OK9-09,4853,5031,795.9,86.6,3.67
2026-07-08,OKT-O12-01,5168,5408,875.4,83.2,4.64
2026-07-08,OKT-O12-02,16225,16752,817.7,85.7,3.24
2026-07-08,OKT-O12-03,69332,65352,801.3,85.1,-5.74
2026-07-08,OKT-O12-04,15533,15019,846.9,81.4,-3.31
2026-07-08,OKT-O11-01,19329,19792,688.1,78.0,2.4
2026-07-08,OKT-O11-02,26514,25386,892.4,85.9,-4.26
2026-07-09,OKT-DN1-01,89511,85568,755.6,87.0,-4.4
2026-07-09,OKT-DN1-02,9048,8822,880.4,79.4,-2.5
2026-07-09,OKT-DN4-01,10535,10539,883.6,81.3,0.04
2026-07-09,OKT-DN4-02,11903,12276,800.9,84.1,3.14
2026-07-09,OKT-DN4-03,21627,22082,799.3,76.0,2.1
2026-07-09,OKT-DN4-04,15898,15806,948.7,76.2,-0.58
